search URL:,https://patents.google.com/?assignee=XCYTE+THERAPIES+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2006286089-A1,Compositions and methods for the treatment of burns and sepsis ,"Xcyte Therapies, Inc.","Ronald Berenson, Mark Bonyhadi",2005-04-08,2006-04-07,2006-12-21,,https://patents.google.com/patent/US20060286089A1/en,https://patentimages.storage.googleapis.com/eb/29/3d/57550c002607aa/US20060286089A1-20061221-D00000.png
US-2005226857-A1,T cell therapy for the treatment of cachexia and chronic diseases ,"Xcyte Therapies, Inc.","Mark Bonyhadi, Ronald Berenson",2001-06-01,2005-03-28,2005-10-13,,https://patents.google.com/patent/US20050226857A1/en,https://patentimages.storage.googleapis.com/dc/1a/95/eb51512d6780d2/US20050226857A1-20051013-D00001.png
AU-779289-B2,Methods for restoring or enhancing T-cell immune surveillance following naturally or artifically induced immunosuppression ,"Xcyte Therapies, Inc.",Ron Berenson,2000-05-25,2001-05-24,2005-01-13,2005-01-13,https://patents.google.com/patent/AU779289B2/en,
US-2004175373-A1,Compositions and methods for eliminating undesired subpopulations of T cells in patients with immunological defects related to autoimmunity and organ or hematopoietic stem cell transplantation ,"Xcyte Therapies, Inc.","Ronald Berenson, Mark Bonyhadi, Dale Kalamasz",2002-06-28,2003-12-05,2004-09-09,,https://patents.google.com/patent/US20040175373A1/en,https://patentimages.storage.googleapis.com/0d/ce/55/9ddc8f8f049861/US20040175373A1-20040909-D00001.png
EP-1526171-A1,Simultaneous stimulation and concentration of cells ,"Xcyte Therapies, Inc",designation of the inventor has not yet been filed The,2000-02-24,2001-02-26,2005-04-27,,https://patents.google.com/patent/EP1526171A1/en,https://patentimages.storage.googleapis.com/18/26/46/8aa5caf520cd7c/01080001.png
US-2005118173-A1,Compositions and methods to accelerate hematologic recovery ,"Xcyte Therapies, Inc.","Ronald Berenson, Mark Frohlich",2003-09-22,2004-09-22,2005-06-02,,https://patents.google.com/patent/US20050118173A1/en,https://patentimages.storage.googleapis.com/e1/e8/a9/e49560193b71a0/US20050118173A1-20050602-D00001.png
WO-2006086716-A2,Donor lymphocyte infusion of activated t cells for the treatment of cancer ,"Xcyte Therapies, Inc."," Ronald J. Berenson",2005-02-10,2006-02-10,2006-08-17,,https://patents.google.com/patent/WO2006086716A2/en,
AU-773844-B2,Compositions and methods for regulating lymphocyte activation ,"Xcyte Therapies, Inc.","William A. Brady, Raj Dua, Laura S. Grosmaire, Martha Hayden Ledbetter, Che-Leung Law, Jeffrey A. Ledbetter",1998-02-19,2002-02-28,2004-06-10,2004-06-10,https://patents.google.com/patent/AU773844B2/en,
CN-100379852-C,Compositions and methods for restoring immune responsiveness in patients with immunological defects ,埃克斯西特治疗公司,"罗纳德·J·贝伦森, 马克·博尼哈迪",2002-02-08,2003-02-07,2008-04-09,2008-04-09,https://patents.google.com/patent/CN100379852C/en,
AU-1872902-A,Compositions and methods for regulating lymphocyte activation ,"Xcyte Therapies, Inc.","William A. Brady, Raj Dua, Laura S. Grosmaire, Martha Hayden Ledbetter, Che-Leung Law, Jeffrey A. Ledbetter",1998-02-19,2002-02-28,2002-04-18,,https://patents.google.com/patent/AU1872902A/en,
AU-2005201373-A1,Methods for restoring or enhancing T-cell immune surveillance following naturally or artificially induced immunosuppression ,"Xcyte Therapies, Inc.",Ron Berenson,2000-05-25,2005-03-31,2005-04-28,,https://patents.google.com/patent/AU2005201373A1/en,
ZA-200402187-B,Activation and expansion of cells. ,Xcyte Therapies Inc,"Ronald Berenson, Mark Bonyhadi, Stewart Craig, Dale Kalamasz, Harjinder Singh Chana, Che Law, Narinder Saund, Alan R Hardwick, David Mcmillen",2001-09-20,2004-03-18,2005-07-04,,https://patents.google.com/patent/ZA200402187B/en,
AU-2002312308-A1,T cell induced tissue repair and regeneration ,"Xcyte Therapies, Inc.","Ronald Berenson, Mark Bonyhadi",2001-06-01,2002-06-03,2002-12-16,,https://patents.google.com/patent/AU2002312308A1/en,
AU-2005246951-A1,Simultaneous stimulation and concentration of cells ,"Xcyte Therapies, Inc.","Ron Berenson, Mark Bonyhadi, Stewart Craig, Alan Hardwick, Dale Kalamasz, Che Law, David Mcmillen, Narinder Saund",2000-02-24,2005-12-20,2006-01-12,,https://patents.google.com/patent/AU2005246951A1/en,
ZA-200206666-B,Simultaneous stimulation and concentration of cells. ,Xcyte Therapies Inc,"Ron Berenson, Mark Bonyhadi, Stewart Craig, Alan Hardwick, Che Law, Narinder Saund, Dale Kalamasz, David Mcmillen",2000-02-24,2002-08-20,2004-02-20,,https://patents.google.com/patent/ZA200206666B/en,
