search URL:,https://patents.google.com/?assignee=GENITOPE+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7208146-B2,Methods of treating lymphoma and leukemia ,Genitope Corporation,"Dan W. Denney, Jr.",1996-05-01,2001-08-09,2007-04-24,2007-04-24,https://patents.google.com/patent/US7208146B2/en,https://patentimages.storage.googleapis.com/US7208146B2/US07208146-20070424-D00001.png
US-2008116122-A1,Chromatography systems comprising single-use components ,Genitope Corporation,"Scott M. Wheelwright, Steven Schamow, Ed Louie, Andrew T. Zander",2006-11-22,2007-07-13,2008-05-22,,https://patents.google.com/patent/US20080116122A1/en,https://patentimages.storage.googleapis.com/US20080116122A1/US20080116122A1-20080522-D00000.png
US-2007134249-A1,Combination therapy and antibody panels ,"Genitope Corporation, Third Wave Technolgies","Dan Denney, Keri Tate, Thomas Theriault",2005-12-08,2005-12-08,2007-06-14,,https://patents.google.com/patent/US20070134249A1/en,https://patentimages.storage.googleapis.com/24/0b/7b/fb88b078e3965f/US20070134249A1-20070614-D00000.png
EP-0910655-B1,Vaccines for treatment of lymphoma and leukemia ,Genitope Corporation,"Dan W. Denney, Jr.",1996-05-01,1997-04-25,2010-02-10,2010-02-10,https://patents.google.com/patent/EP0910655B1/en,https://patentimages.storage.googleapis.com/c9/2b/98/35379682874c70/imgf0001.png
US-2007134248-A1,Combination therapy and antibody panels ,Genitope Corporation,"Dan Denney, Keri Marie Tate, Thomas P. Theriault",2005-12-08,2005-12-08,2007-06-14,,https://patents.google.com/patent/US20070134248A1/en,https://patentimages.storage.googleapis.com/07/ba/6a/08c4c56f6da1ea/US20070134248A1-20070614-D00000.png
GB-2448627-B,Combination therapy and antibody panels ,Genitope Corp,"Dan W Denney, Keri Marie Tate, Thomas P Theriault",2005-12-08,2008-07-07,2010-07-14,2010-07-14,https://patents.google.com/patent/GB2448627B/en,
