search URL:,https://patents.google.com/?assignee=HEAT+BIOLOGICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10086042-B2,Compositions and methods for adjoining type I and type II extracellular domains as heterologous chimeric proteins ,"Heat Biologics, Inc.","Taylor Schreiber, George Fromm, Suresh DE SILVA, Neal SCHILLING",2015-10-01,2017-11-06,2018-10-02,2018-10-02,https://patents.google.com/patent/US10086042B2/en,https://patentimages.storage.googleapis.com/4d/e5/c1/1ca0993bb17217/US10086042-20181002-D00001.png
US-10046047-B2,Vector co-expressing vaccine and costimulatory molecules ,"Heat Biologics, Inc.","Taylor Schreiber, George Fromm",2015-02-06,2016-02-05,2018-08-14,2018-08-14,https://patents.google.com/patent/US10046047B2/en,https://patentimages.storage.googleapis.com/c4/f2/ea/78f3305f2345c7/US10046047-20180814-D00001.png
WO-2019104327-A1,Gp96-based cancer therapy ,"Heat Biologics, Inc.","Jeff Hutchins, Lori MCDERMOTT",2017-11-27,2018-11-27,2019-05-31,,https://patents.google.com/patent/WO2019104327A1/en,
WO-2018187260-A1,Intratumoral vaccination ,"Heat Biologics, Inc.","Suresh DE SILVA, Taylor Schreiber",2017-04-04,2018-04-03,2018-10-11,,https://patents.google.com/patent/WO2018187260A1/en,
