search URL:,https://patents.google.com/?assignee=BARRIER+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
WO-2008049027-A1,Talarazole metabolites ,"Stiefel Laboratories, Inc.",Debra Barrett,2006-10-17,2007-10-17,2008-04-24,,https://patents.google.com/patent/WO2008049027A1/en,
US-6353029-B1,Storage stable tretinoin and 4-hydroxyanisole containing topical composition ,Bristol-Myers Squibb Company,Prakash V. Parab,2000-08-24,2000-08-24,2002-03-05,2002-03-05,https://patents.google.com/patent/US6353029B1/en,
US-5194247-A,Synergistic skin depigmentation composition ,"Xina Nair, Tramposch Kenneth M","Xina Nair, Kenneth M. Tramposch",1989-08-24,1990-07-24,1993-03-16,1993-03-16,https://patents.google.com/patent/US5194247A/en,https://patentimages.storage.googleapis.com/31/89/a5/1500965b64ce24/US5194247-drawings-page-2.png
US-8486456-B2,Itraconazole compositions with improved bioavailability ,"Abbott Gmbh & Co., Kg","Gunther Berndl, Matthias Degenhardt, Markus Mäegerlein, Gerrit Dispersyn",2005-08-08,2006-08-08,2013-07-16,2013-07-16,https://patents.google.com/patent/US8486456B2/en,https://patentimages.storage.googleapis.com/8e/cf/36/dcfa65d43c3324/US08486456-20130716-D00001.png
US-2007275093-A1,Methods for Treating Non-Microbial Inflammatory Skin Conditioners ,"Pierard Gerald E, Valerie Vroome, Geert Cauwenbergh","Gerald Pierard, Valerie Vroome, Geert Cauwenbergh",2003-10-20,2004-10-19,2007-11-29,,https://patents.google.com/patent/US20070275093A1/en,https://patentimages.storage.googleapis.com/62/b4/84/e8edded505431a/US20070275093A1-20071129-D00000.png
CA-2637590-C,Treatment of inflammatory disorders with triazole compounds ,"Barrier Therapeutics, Inc., Marina Cools, Marcel Borgers, Stiefel Laboratories, Inc.","Marina Cools, Marcel Borgers",2006-01-17,2007-01-17,2014-03-18,2014-03-18,https://patents.google.com/patent/CA2637590C/en,
US-8147852-B2,Modified azole compounds as antifungal and antibacterial agents ,"Barrier Therapeutics, Inc.","Marcel Borgers, Maarten van Geffen, Jannie Ausma",2006-08-03,2008-04-23,2012-04-03,2012-04-03,https://patents.google.com/patent/US8147852B2/en,https://patentimages.storage.googleapis.com/ab/dc/e9/055d355c38ebf4/US08147852-20120403-D00000.png
US-5470567-A,Synergistic skin depigmentation composition ,Bristol Myers Squibb Company,"Xina Nair, Kenneth M. Tramposch",1989-08-24,1993-10-25,1995-11-28,1995-11-28,https://patents.google.com/patent/US5470567A/en,https://patentimages.storage.googleapis.com/fd/79/18/d0ed83df1470fa/US5470567-drawings-page-2.png
US-2010222403-A1,Micogel Topical Formulations ,"Barrier Therapeutics, Inc","Marcel Borgers, Valerie Vroome, Geert Cauwenbergh",2005-06-27,2006-06-27,2010-09-02,,https://patents.google.com/patent/US20100222403A1/en,
