search URL:,https://patents.google.com/?assignee=CELLULAR+DYNAMICS+INTERNATIONAL+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10266807-B2,Methods and compositions for culturing endoderm progenitor cells in suspension ,"FUJIFILM Cellular Dynamics, Inc.","Deepika Rajesh, Sarah Alice BURTON",2013-04-03,2014-04-03,2019-04-23,2019-04-23,https://patents.google.com/patent/US10266807B2/en,https://patentimages.storage.googleapis.com/ee/b7/19/54351782e7e562/US10266807-20190423-D00001.png
US-9694036-B2,Production of midbrain dopaminergic neurons and methods for the use thereof ,"Cellular Dynamics International, Inc.","Matt GEORGE, Carrie CHAVEZ, Chris McMahon, Wen Bo Wang, Lucas Chase, Brad Swanson",2014-03-21,2015-03-20,2017-07-04,2017-07-04,https://patents.google.com/patent/US9694036B2/en,https://patentimages.storage.googleapis.com/85/43/14/e8b73c0d9bd9ee/US09694036-20170704-D00001.png
US-9181529-B2,Titration of differentiation medium components ,"Cellular Dynamics International, Inc.","Steven Kattman, Wen Bo Wang, Peter Fuhrken, Nathan Meyer, Matthew George, Casey Stankewicz",2010-10-19,2011-10-19,2015-11-10,2015-11-10,https://patents.google.com/patent/US9181529B2/en,https://patentimages.storage.googleapis.com/9f/77/e9/b79284464e7c83/US09181529-20151110-D00001.png
EP-2470673-B1,Identifying genetic variation in affected tissues ,"Cellular Dynamics International, Inc.","James Thomson, Nick Seay",2009-08-28,2010-08-26,2014-07-30,2014-07-30,https://patents.google.com/patent/EP2470673B1/en,
EP-2582793-B1,A compendium of ready-built stem cell models for interrogation of biological response ,"Cellular Dynamics International, Inc.","Emile Nuwaysir, Chris Kendrick-Parker, Nicholas Seay",2010-06-15,2011-06-15,2017-09-06,2017-09-06,https://patents.google.com/patent/EP2582793B1/en,https://patentimages.storage.googleapis.com/6e/27/b8/ac1345febdd5d2/imgf0001.png
US-10047341-B2,Generation of keratinocytes from pluripotent stem cells and maintenance of keratinocyte cultures ,"FUJIFILM Cellular Dynamics, Inc.","Junying Yu, Ying Zhang, Lisa HARMS",2014-10-14,2015-10-13,2018-08-14,2018-08-14,https://patents.google.com/patent/US10047341B2/en,https://patentimages.storage.googleapis.com/54/40/26/6fd5717355b633/US10047341-20180814-D00001.png
AU-2015200413-B2,Reprogramming t cells and hematopoietic cells ,"FUJIFILM Cellular Dynamics, Inc.","Matthew Brown, Elizabeth Rondon Dominguez, Randy Learish, Amanda Mack, Emile Nuwaysir, Deepika Rajesh",2009-06-05,2015-01-29,2017-08-24,2017-08-24,https://patents.google.com/patent/AU2015200413B2/en,
US-2016116459-A1,Neural networks formed from cells derived from pluripotent stem cells ,"Cellular Dynamics International, Inc.","Kile P. MANGAN, Coby B. CARLSON",2014-08-19,2015-08-19,2016-04-28,,https://patents.google.com/patent/US20160116459A1/en,https://patentimages.storage.googleapis.com/60/9e/ed/ed8dcbeb9c3eaf/US20160116459A1-20160428-D00001.png
US-2017107486-A1,Hepatocyte production via forward programming by combined genetic and chemical engineering ,"Cellular Dynamics International, Inc.","Junying Yu, Xin Zhang",2014-04-21,2015-04-20,2017-04-20,,https://patents.google.com/patent/US20170107486A1/en,https://patentimages.storage.googleapis.com/a9/38/80/dc3e78080508b9/US20170107486A1-20170420-D00001.png
US-2017107492-A1,Multi-lineage hematopoietic precursor cell production by genetic programming ,"Cellular Dynamics International, Inc.","Junying Yu, Maksym A. Vodyanyk, Jeffrey Sasaki, Deepika Rajesh, Sarah A. BURTON",2015-10-20,2016-10-20,2017-04-20,,https://patents.google.com/patent/US20170107492A1/en,https://patentimages.storage.googleapis.com/cc/41/4c/fb363939b90d3d/US20170107492A1-20170420-D00001.png
