search URL:,https://patents.google.com/?assignee=EYETECH+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7759472-B2,Combination therapy for the treatment of ocular neovascular disorders ,Ophthotech Corporation,"David Shima, Perry Calias, Anthony P. Adamis",2003-08-27,2004-08-26,2010-07-20,2010-07-20,https://patents.google.com/patent/US7759472B2/en,https://patentimages.storage.googleapis.com/bd/b1/0e/f15bc7b23e06a1/US07759472-20100720-D00001.png
US-2004167091-A1,Methods for treating ocular neovascular diseases ,Guyer David R.,David Guyer,2001-11-09,2004-02-25,2004-08-26,,https://patents.google.com/patent/US20040167091A1/en,https://patentimages.storage.googleapis.com/ab/37/da/6eaab66297e6ee/US20040167091A1-20040826-D00001.png
US-2005260153-A1,Facilitation of iontophoresis using charged moieties ,"Pericles Calias, Cook Gary P, Shima David T, Turner David I, Ganley Mary A","Pericles Calias, Gary Cook, David Shima, David Turner, Mary Ganley",2004-04-13,2005-04-13,2005-11-24,,https://patents.google.com/patent/US20050260153A1/en,https://patentimages.storage.googleapis.com/5f/f6/ec/faed14958c5faf/US20050260153A1-20051124-D00001.png
WO-2004073765-A9,Drug delivery device and syringe for filling the same ,"Eyetech Pharmaceuticals Inc, Wisam Breegi, Pericles Calias, Anthony P Adamis","Wisam Breegi, Pericles Calias, Anthony P Adamis, David Shima, Ememett T Cunningham",2003-02-18,2004-02-18,2004-10-28,,https://patents.google.com/patent/WO2004073765A9/en,
US-2005096290-A1,5'-and 3'-capped aptamers and uses therefor ,"Adamis Anthony P., David Shima, Francine Wincott, Perry Calias","Anthony Adamis, David Shima, Francine Wincott, Perry Calias",2003-08-08,2004-08-06,2005-05-05,,https://patents.google.com/patent/US20050096290A1/en,https://patentimages.storage.googleapis.com/15/28/84/4e4efbce21ee67/US20050096290A1-20050505-D00001.png
US-2005043220-A1,Methods and compositions for treating macular degeneration ,"Guyer David R., O'shaughnessy Denis","David Guyer, Denis O'Shaughnessy",2002-11-08,2004-08-27,2005-02-24,,https://patents.google.com/patent/US20050043220A1/en,https://patentimages.storage.googleapis.com/6e/d0/d2/5c16a55ba539a4/US20050043220A1-20050224-D00001.png
WO-2006014639-A2,Sequencing of modified nucleic acid molecules ,(Osi) Eyetech Inc.,"David T. Shima, Pericles Calias, Gregory S. Robinson, Yin-Shan Ng, Francine E. Wincott, Corinna Krinos",2004-07-23,2005-07-19,2006-02-09,,https://patents.google.com/patent/WO2006014639A2/en,
WO-2006055416-A2,Transgenic mouse capable of over-expressing vascular endothelial protein tyrosine phosphatase (ve-ptp) ,"Eyetech Pharmaceuticals, Inc.","David T. Shima, Sofia Ioannidou",2004-11-15,2005-11-10,2006-05-26,,https://patents.google.com/patent/WO2006055416A2/en,
