search URL:,https://patents.google.com/?assignee=ARGOS+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2013215525-B2,Centrifuge vessels suitable for live cell processing and associated systems and methods ,"Argos Therapeutics, Inc.","Arjun V. CAPRIHAN, Ian S. Fitzpatrick, Richard A. Grant, Christopher John Leigh-Lancaster, Tamara Tatroe MONESMITH, Christopher Thomas Ryan",2012-01-31,2013-01-22,2017-02-16,2017-02-16,https://patents.google.com/patent/AU2013215525B2/en,
US-2007248578-A1,Mrna Transfected Antigen Presenting Cells ,"Argos Therapeutics, Inc.",Irina Tcherepanova,2003-11-25,2004-11-24,2007-10-25,,https://patents.google.com/patent/US20070248578A1/en,https://patentimages.storage.googleapis.com/67/91/e6/edc4d470dc4177/US20070248578A1-20071025-D00000.png
US-7893200-B2,Use of soluble forms of CD83 and nucleic acids encoding them for the treatment or prevention of diseases ,"Argos Therapeutics, Inc.","Alexander Steinkasserer, Matthias Lechmann, Elizabeth Zinser",2002-11-19,2003-11-19,2011-02-22,2011-02-22,https://patents.google.com/patent/US7893200B2/en,https://patentimages.storage.googleapis.com/b0/ea/e7/78eca5a22d3f01/US07893200-20110222-D00001.png
US-8361463-B2,Humanized antibodies against human interferon-alpha ,"Argos Therapeutics, Inc.","Lars Anders Svensson, Soren Padkjaer, Birgitte Friedrichsen, Berit Olsen Krogh, Inger Lund Pedersen",2008-05-07,2012-02-01,2013-01-29,2013-01-29,https://patents.google.com/patent/US8361463B2/en,https://patentimages.storage.googleapis.com/03/56/da/7604610ff32005/US08361463-20130129-D00001.png
US-8603815-B2,CD4+ CD25− T cells and Tr1-like regulatory T cells ,"Argos Therapeutics, Inc.","Gerold Schuler, Detlef Dieckmann",2002-08-12,2011-11-04,2013-12-10,2013-12-10,https://patents.google.com/patent/US8603815B2/en,https://patentimages.storage.googleapis.com/5b/e8/38/af7268ea0eeac6/US08603815-20131210-D00001.png
US-10006901-B2,CD4+CD25+ regulatory T cells from human blood ,"Argos Therapeutics, Inc.","Gerold Schuler, Detlef Dieckmann",2001-03-12,2012-06-22,2018-06-26,2018-06-26,https://patents.google.com/patent/US10006901B2/en,https://patentimages.storage.googleapis.com/15/3b/99/535ab2062c2e69/US10006901-20180626-D00001.png
EP-2051987-B1,Use of cd83 in combination therapies ,"Argos Therapeutics, Inc.","Charles Nicolette, Stephen Brand, Zhen Zhong, Hao Wang, Jacqueline Arp, Siobhan Ramcharran, Mirin Lorea Baroja",2006-08-18,2007-08-16,2014-11-19,2014-11-19,https://patents.google.com/patent/EP2051987B1/en,https://patentimages.storage.googleapis.com/c7/07/56/c5c2e0f275c1d3/imgf0001.png
US-2017065690-A1,Tscm CELLS AND METHODS FOR USE ,"Argos Therapeutics, Inc.","Mark DeBenedette, Charles Nicolette, Joseph Horvatinovich",2014-02-21,2015-02-20,2017-03-09,,https://patents.google.com/patent/US20170065690A1/en,https://patentimages.storage.googleapis.com/ea/ac/e2/0093fbc7a080ca/US20170065690A1-20170309-D00001.png
EP-2288387-B1,"Novel soluble cd83 polypeptides, formulations and methods of use ","Argos Therapeutics, Inc.","Stephen Brand, Chih-Hsiung Chou, Murray Moo-Young",2008-05-23,2009-05-22,2013-02-13,2013-02-13,https://patents.google.com/patent/EP2288387B1/en,https://patentimages.storage.googleapis.com/43/85/5c/ea61ba14daddbf/imgf0001.png
US-8221981-B2,"Primers and probes for the amplification and detection of HIV Gag, Rev and Nef polynucleotides ","Argos Therapeutics, Inc.","Irina Tcherepanova, Aijing Starr, Brad Lackford",2007-07-30,2008-07-30,2012-07-17,2012-07-17,https://patents.google.com/patent/US8221981B2/en,https://patentimages.storage.googleapis.com/f2/55/d7/4a54a3bfed678d/US08221981-20120717-D00000.png
US-2009274669-A1,Dendritic Cells Transiently Transfected with a Membrane Homing Polypeptide and their use ,"Gerold Schuler, Niels Schaft, Doerrie Jan","Gerold Schuler, Niels Schaft, Jan Dörrie",2006-02-22,2007-02-22,2009-11-05,,https://patents.google.com/patent/US20090274669A1/en,https://patentimages.storage.googleapis.com/US20090274669A1/US20090274669A1-20091105-D00001.png
US-2002085993-A1,Method for in vitro proliferation of dendritic cell precursors and their use to produce immunogens ,"Ralph M. Steinman, Kayo Inaba, Gerold Schuler","Ralph M. Steinman, Kayo Inaba, Gerold Schuler",1992-11-25,1998-05-06,2002-07-04,,https://patents.google.com/patent/US20020085993A1/en,https://patentimages.storage.googleapis.com/b2/2f/d5/e9d1bbea15695d/US20020085993A1-20020704-D00001.png
AU-2013237703-B2,Use of cd83 in combination therapies ,"Argos Therapeutics, Inc.","Jacqueline Arp, Mirin Lorea Baroja, Stephen Brand, Charles Nicolette, Siobhan Ramcharran, Hao Wang, Zhen Zhong",2006-08-18,2013-10-03,2016-03-24,2016-03-24,https://patents.google.com/patent/AU2013237703B2/en,
WO-2019014306-A3,"Automated processing systems, apparatus, methods and related devices ","Argos Therapeutics, Inc.","Wilfred Lawrence BAUWENS, Yvette M. BEBEN, Chia-Hen Chiang, Thomas Sanelli CRUGNALE, Fernando Peixoto Dias, Phillip James Michael DUNCAN, Ricardo FIGARI BELLO, Michael James FRY, Duncan Paul GILLIS, Grant Richard Towan HOSKING, Stephen Alan Houghton, Stella Louise Knorr, Vasanth MANOHARAN, Tamara Tatroe MONESMITH, Jayne Thanh NGUYEN, Christopher Thomas Ryan, Adrian Charles Ian Scott-Murphy, JR. W. Lee WILLIAMS, Kon Euan Gerard Wong",2017-07-13,2018-07-11,2019-03-07,,https://patents.google.com/patent/WO2019014306A3/en,
AU-2011203204-A1,CD4+CD25+ regulatory T cells from human blood ,"Argos Therapeutics, Inc.","Detlef Dieckmann, Gerold Schuler",2001-03-12,2011-06-30,2011-07-21,,https://patents.google.com/patent/AU2011203204A1/en,
CN-101600445-A,Dendritic cells transiently transfected with a membrane homing polypeptide and their use ,阿戈斯治疗公司;麒麟医药株式会社,"G·舒勒, J·德里, N·谢夫特",2006-02-22,2007-02-14,2009-12-09,,https://patents.google.com/patent/CN101600445A/en,
WO-2019094458-A1,Methods and uses for dendritic cell therapy ,"Argos Therapeutics, Inc.","Charles Nicolette, Mark Debenedette, Joseph HORVATINOVICH, Alex DUSEK, Tamara Monesmith",2017-11-07,2018-11-07,2019-05-16,,https://patents.google.com/patent/WO2019094458A1/en,
WO-2018085617-A1,Bispecific antibodies that modulate tlr-4 signaling and uses thereof ,"Argos Therapeutics, Inc.","Charles Nicolette, Mark Debenedette, Joseph HORVATINOVICH",2016-11-07,2017-11-03,2018-05-11,,https://patents.google.com/patent/WO2018085617A1/en,
