search URL:,https://patents.google.com/?assignee=INTREXON+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9169210-B2,Bioavailable diacylhydrazine ligands for modulating the expression of exogenous genes via an ecdysone receptor complex ,Intrexon Corporation,"Robert Eugene Hormann, David W. Potter, Orestes Chortyk, Colin M. Tice, Glenn Richard Carlson, Andrew Meyer, Thomas R. Opie",2003-02-28,2012-09-05,2015-10-27,2015-10-27,https://patents.google.com/patent/US9169210B2/en,https://patentimages.storage.googleapis.com/25/8a/07/2e0f5e37acc38c/US09169210-20151027-D00001.png
EP-1937810-B1,Dna modular cloning vector plasmids and methods for their use ,Intrexon Corporation,"Jiang F. Zhou, Thomas Reed",2005-09-22,2006-09-22,2012-11-21,2012-11-21,https://patents.google.com/patent/EP1937810B1/en,https://patentimages.storage.googleapis.com/88/39/75/2f7f18b3332f1a/imgf0001.png
US-9493540-B2,Ecdysone receptor/invertebrate retinoid X receptor-based inducible gene expression system ,Intrexon Corporation,"Subba Reddy Palli, Marianna Zinovievna Kapitskaya",2001-02-20,2002-02-20,2016-11-15,2016-11-15,https://patents.google.com/patent/US9493540B2/en,https://patentimages.storage.googleapis.com/60/21/31/8fbd0b378c804e/US09493540-20161115-D00001.png
AU-2008307643-B9,"Therapeutic gene-switch constructs and bioreactors for the expression of biotherapeutic molecules, and uses thereof ",Intrexon Corporation,"Robert P. Beech, Bethany Lynn Merenick, Richard E. Peterson, Thomas D. Reed, Anna P. Tretiakova",2007-09-28,2008-09-29,2014-04-17,2014-04-17,https://patents.google.com/patent/AU2008307643B9/en,
US-8030067-B2,"Whitefly ecdysone receptor nucleic acids, polypeptides, and uses thereof ",Intrexon Corporation,"Jianzhong Zhang, Dean Ervin Cress, Subba Reddy Palli, Tarlochan Singh Dhadialla",2001-09-26,2010-09-23,2011-10-04,2011-10-04,https://patents.google.com/patent/US8030067B2/en,https://patentimages.storage.googleapis.com/75/6b/8b/85f575e7d7eb77/US08030067-20111004-D00001.png
US-7785871-B2,DNA cloning vector plasmids and methods for their use ,Intrexon Corporation,Thomas D. Reed,2002-10-09,2003-10-09,2010-08-31,2010-08-31,https://patents.google.com/patent/US7785871B2/en,https://patentimages.storage.googleapis.com/8d/fd/06/d8de33f750c3fc/US07785871-20100831-D00001.png
US-7851220-B2,Diacylhydrazine ligands for modulating the expression of exogenous genes in mammalian systems via an ecdysone receptor complex ,Intrexon Corporation,"Robert Eugene Hormann, Colin M. Tice, Orestes Chortyk, Howard Smith, Thomas Meteyer",2003-02-10,2007-11-02,2010-12-14,2010-12-14,https://patents.google.com/patent/US7851220B2/en,
AU-2016202426-B2,"Vectors conditionally expressing therapeutic proteins, host cells comprising the vectors, and uses thereof ",Intrexon Corporation,"Sunil Chada, Brandon Cuthbertson, William E. Fogler, Charles C. Reed, Jeremiah F. Roeth",2010-03-23,2016-04-18,2018-06-28,2018-06-28,https://patents.google.com/patent/AU2016202426B2/en,
US-10036026-B2,Methods for dynamic vector assembly of DNA cloning vector plasmids ,Intrexon Corporation,Thomas D. Reed,2004-05-18,2015-08-13,2018-07-31,2018-07-31,https://patents.google.com/patent/US10036026B2/en,https://patentimages.storage.googleapis.com/0b/20/7f/ae6b7600ed3526/US10036026-20180731-D00001.png
US-8497093-B2,"Leafhopper ecdysone receptor nucleic acids, polypeptides, and uses thereof ",Intrexon Corporation,Subba Reddy Palli,2001-09-26,2011-08-16,2013-07-30,2013-07-30,https://patents.google.com/patent/US8497093B2/en,https://patentimages.storage.googleapis.com/02/b0/2b/e9f0294451fed8/US08497093-20130730-D00000.png
